artist	title	venue	sido	sgg	start	end	n	type	conf	source
조용필	20집 발매 기념 조용필&위대한탄생 콘서트 - 서울	KSPO DOME	서울	송파구	2024-11-23	2024-11-24	2	콘서트	A	https://namu.wiki/w/%EC%A1%B0%EC%9A%A9%ED%95%84/%EC%BD%98%EC%84%9C%ED%8A%B8
조용필	20집 발매 기념 조용필&위대한탄생 콘서트 - 서울	KSPO DOME	서울	송파구	2024-11-30	2024-12-01	2	콘서트	A	https://namu.wiki/w/%EC%A1%B0%EC%9A%A9%ED%95%84/%EC%BD%98%EC%84%9C%ED%8A%B8
조용필	20집 발매 기념 조용필&위대한탄생 콘서트 - 대구	EXCO 동관	대구	북구	2024-12-21	2024-12-21	1	콘서트	A	https://namu.wiki/w/%EC%A1%B0%EC%9A%A9%ED%95%84/%EC%BD%98%EC%84%9C%ED%8A%B8
조용필	20집 발매 기념 조용필&위대한탄생 콘서트 - 부산	BEXCO 제1전시장	부산	해운대구	2024-12-28	2024-12-28	1	콘서트	A	https://namu.wiki/w/%EC%A1%B0%EC%9A%A9%ED%95%84/%EC%BD%98%EC%84%9C%ED%8A%B8
조용필	20집 발매 기념 조용필&위대한탄생 콘서트 - 인천	송도컨벤시아 2~4홀	인천	연수구	2025-01-25	2025-01-25	1	콘서트	A	https://m.ticket.yes24.com/Perf/52058
조용필	20집 발매 기념 조용필&위대한탄생 콘서트 - 대전	대전컨벤션센터 제2전시장	대전	유성구	2025-04-05	2025-04-05	1	콘서트	A	https://m.ticket.yes24.com/Perf/52765
조용필	2025-26 조용필&위대한탄생 전국투어 콘서트 - 부산	BEXCO 제1전시장	부산	해운대구	2025-12-13	2025-12-14	2	콘서트	A	https://www.joongangenews.com/news/articleView.html?idxno=460137
조용필	2025-26 조용필&위대한탄생 전국투어 콘서트 - 대구	EXCO 동관	대구	북구	2025-12-20	2025-12-21	2	콘서트	A	https://www.joongangenews.com/news/articleView.html?idxno=460137
조용필	2025-26 조용필&위대한탄생 전국투어 콘서트 - 인천	남동체육관	인천	남동구	2025-12-27	2025-12-28	2	콘서트	A	https://www.joongangenews.com/news/articleView.html?idxno=460137
조용필	2025-26 조용필&위대한탄생 전국투어 콘서트 - 광주	김대중컨벤션센터	광주	서구	2026-01-03	2026-01-03	1	콘서트	A	https://www.joongangenews.com/news/articleView.html?idxno=460137
조용필	2025-26 조용필&위대한탄생 전국투어 콘서트 - 서울	올림픽공원 KSPO DOME	서울	송파구	2026-01-09	2026-01-11	3	콘서트	A	https://www.joongangenews.com/news/articleView.html?idxno=460137
이승철	2025 이승철 콘서트 <오케스트락2> - 세종	세종예술의전당	세종		2025-03-08	2025-03-08	1	콘서트	A	https://munhwa.com/news/view.html?no=2025030601039912069008
이승철	2025 이승철 콘서트 <오케스트락2> - 여수		전남	여수시	2025-03-15	2025-03-15	1	콘서트	A	https://munhwa.com/news/view.html?no=2025030601039912069008
이승철	2025 이승철 콘서트 <오케스트락2> - 부산		부산		2025-03-22	2025-03-22	1	콘서트	A	https://munhwa.com/news/view.html?no=2025030601039912069008
이승철	2025 이승철 콘서트 <오케스트락2> - 이천		경기	이천시	2025-03-29	2025-03-29	1	콘서트	A	https://munhwa.com/news/view.html?no=2025030601039912069008
이승철	2025 이승철 콘서트 <오케스트락2> - 경주		경북	경주시	2025-04-05	2025-04-05	1	콘서트	A	https://munhwa.com/news/view.html?no=2025030601039912069008
이승철	2025 이승철 콘서트 <오케스트락2> - 의정부		경기	의정부시	2025-04-19	2025-04-19	1	콘서트	A	https://munhwa.com/news/view.html?no=2025030601039912069008
이승철	2025 이승철 콘서트 <오케스트락2> - 대구		대구		2025-04-26	2025-04-26	1	콘서트	A	https://munhwa.com/news/view.html?no=2025030601039912069008
이승철	2025 이승철 콘서트 <오케스트락2> - 안동		경북	안동시	2025-05-17	2025-05-17	1	콘서트	A	https://munhwa.com/news/view.html?no=2025030601039912069008
이승철	2025 이승철 콘서트 <오케스트락2> - 천안		충남	천안시	2025-05-24	2025-05-24	1	콘서트	A	https://munhwa.com/news/view.html?no=2025030601039912069008
이승철	2025 이승철 콘서트 <오케스트락2> - 울산		울산		2025-06-01	2025-06-01	1	콘서트	A	https://munhwa.com/news/view.html?no=2025030601039912069008
이승철	2025 이승철 콘서트 <오케스트락2> - 대전		대전		2025-06-07	2025-06-07	1	콘서트	A	https://munhwa.com/news/view.html?no=2025030601039912069008
이승철	2025 이승철 콘서트 <오케스트락2> - 전주		전북	전주시	2025-06-21	2025-06-21	1	콘서트	A	https://munhwa.com/news/view.html?no=2025030601039912069008
이승철	2025 이승철 콘서트 <오케스트락2> - 군포		경기	군포시	2025-06-28	2025-06-28	1	콘서트	A	https://munhwa.com/news/view.html?no=2025030601039912069008
이승철	2025 이승철 콘서트 <오케스트락3> - 안동		경북	안동시	2025-11-01	2025-11-01	1	콘서트	A	https://www.munhwa.com/article/11542785
이승철	2025 이승철 콘서트 <오케스트락3> - 서울		서울		2025-11-22	2025-11-23	2	콘서트	A	https://www.munhwa.com/article/11542785
이승철	2025 이승철 콘서트 <오케스트락3> - 인천		인천		2025-12-06	2025-12-06	1	콘서트	A	https://www.munhwa.com/article/11542785
이승철	2025 이승철 콘서트 <오케스트락3> - 용인		경기	용인시	2025-12-13	2025-12-13	1	콘서트	A	https://www.munhwa.com/article/11542785
이승철	2025 이승철 콘서트 <오케스트락3> - 구미		경북	구미시	2025-12-21	2025-12-21	1	콘서트	A	https://www.munhwa.com/article/11542785
이승철	2025 이승철 콘서트 <오케스트락3> - 창원		경남	창원시	2025-12-27	2025-12-27	1	콘서트	A	https://www.munhwa.com/article/11542785
이승철	2026 이승철 40주년 콘서트 [THE VOICE: LEE SEUNG CHUL] - 청주		충북	청주시				콘서트	C	https://sports.khan.co.kr/article/202605202048003
권은비	3rd GPD FORUM 예술뉴런-뮤지카	상명아트센터 계당홀	서울	종로구	2024-01-13	2024-01-13	1	기타	A	https://www.stagepick.co.kr/artists/detail/8348
권은비	AliExpress 2024 Weverse Con Festival - 인천	인스파이어 엔터테인먼트 리조트	인천	중구	2024-06-15	2024-06-16		페스티벌출연	B	https://www.stagepick.co.kr/artists/detail/8348
권은비	2024 울산서머페스티벌	강동중앙공원	울산	북구	2024-08-09	2024-08-14		페스티벌출연	B	https://www.stagepick.co.kr/artists/detail/8348
권은비	워터밤 대전 2024	목원대학교 대운동장	대전	서구	2024-08-10	2024-08-10	1	페스티벌출연	A	https://www.stagepick.co.kr/artists/detail/8348
권은비	워터밤 속초 2024	한화리조트 설악	강원	속초시	2024-08-17	2024-08-17	1	페스티벌출연	A	https://www.stagepick.co.kr/artists/detail/8348
권은비	대한민국 상생 K-POP 콘서트 WITH 춘천 2024	춘천 송암스포츠타운 보조경기장	강원	춘천시	2024-10-03	2024-10-03	1	기타	A	https://www.stagepick.co.kr/artists/detail/8348
권은비	제30회 드림콘서트 - 고양	고양종합운동장	경기	고양시	2024-10-19	2024-10-19	1	기타	A	https://www.stagepick.co.kr/artists/detail/8348
권은비	워터밤 서울 2025	킨텍스 야외 글로벌 스테이지	경기	고양시	2025-07-04	2025-07-06		페스티벌출연	B	https://www.stagepick.co.kr/artists/detail/8348
권은비	워터밤 부산 2025	부산항 제1부두	부산	중구	2025-07-26	2025-07-26	1	페스티벌출연	A	https://www.stagepick.co.kr/artists/detail/8348
권은비	2025 권은비 콘서트 'THE RED' - 서울	연세대학교 신촌캠퍼스 대강당	서울	서대문구	2025-08-23	2025-08-24	2	콘서트	A	https://www.stagepick.co.kr/performances/detail/200952
권은비	2026 MCT FESTIVAL BIG CONCERT with KOMCA	마곡나루역 앞 특설무대	서울	강서구	2026-06-20	2026-06-21		페스티벌출연	B	https://www.stagepick.co.kr/artists/detail/8348
윤도현	2024 YB TOUR [LIGHTS : INFINITY] - 대구	영남대학교 천마아트센터	대구		2024-03-09	2024-03-10	2	콘서트	A	https://www.stagepick.co.kr/artists/detail/8634
윤도현	2024 YB TOUR [LIGHTS : INFINITY] - 수원	경기아트센터 대극장	경기	수원시	2024-03-16	2024-03-17	2	콘서트	A	https://www.stagepick.co.kr/artists/detail/8634
윤도현	2024 YB TOUR [LIGHTS : INFINITY] - 안산	안산문화예술의전당 해돋이극장	경기	안산시	2024-03-23	2024-03-24	2	콘서트	A	https://www.stagepick.co.kr/artists/detail/8634
윤도현	2024 YB TOUR [LIGHTS : INFINITY] - 창원	KBS 창원홀	경남	창원시	2024-03-30	2024-03-31	2	콘서트	A	https://www.stagepick.co.kr/artists/detail/8634
윤도현	2024 YB TOUR [LIGHTS : INFINITY] - 부산	KBS 부산홀	부산	수영구	2024-04-06	2024-04-07	2	콘서트	A	https://www.stagepick.co.kr/artists/detail/8634
윤도현	2024 YB TOUR [LIGHTS : INFINITY] - 전주	한국소리문화의전당 모악당	전북	전주시	2024-04-20	2024-04-21	2	콘서트	A	https://www.stagepick.co.kr/artists/detail/8634
윤도현	2024 YB TOUR [LIGHTS : INFINITY] - 원주	백운아트홀	강원	원주시	2024-05-04	2024-05-05	2	콘서트	A	https://www.stagepick.co.kr/artists/detail/8634
